Age,KM,Weight,HP,MetColor,CC,Doors,Price
22,62636,1255,90,1,2000,5,17950
30,57086,1110,97,1,1400,5,15750
26,56000,1180,110,1,1600,5,20500
27,49866,1195,192,1,1800,5,21950
25,49163,1165,110,0,1600,5,15500
32,45725,1075,110,1,1600,5,13250
28,43210,1110,97,0,1400,5,15250
26,43000,1110,97,0,1400,5,15250
23,39704,1180,110,1,1600,5,18950
30,38950,1130,110,1,1600,5,15999
22,37400,1110,97,1,1400,5,14950
27,37177,1130,110,0,1600,5,16500
31,36544,1130,110,1,1600,5,18750
30,33511,1130,110,1,1600,5,17950
27,32809,1110,97,1,1400,5,17950
26,32181,1075,110,1,1600,5,16950
28,30993,1130,110,1,1600,5,18950
22,30400,1110,97,1,1400,5,14950
22,30000,1275,110,1,2000,5,22250
25,29719,1110,97,1,1400,5,15950
28,29206,1110,97,1,1400,5,15950
32,29198,1060,97,1,1400,5,12995
28,28817,1130,110,1,1598,5,18950
61,28227,1110,97,1,1400,5,15750
28,28000,1130,110,0,1600,5,19950
23,28000,1115,110,1,1600,5,16950
31,25266,1130,110,1,1600,5,18750
27,23489,1115,110,0,1600,5,18450
29,22575,1115,110,1,1600,5,16895
30,22000,1110,97,1,1400,5,14900
25,20019,1180,110,1,1600,5,18950
29,20000,1115,110,1,1600,5,17250
25,17003,1110,97,1,1400,5,15450
31,16238,1180,110,1,1600,5,17950
25,15414,1110,97,1,1400,5,16650
28,8537,1130,110,1,1600,5,17450
30,7000,1100,97,1,1400,5,14900
20,66966,1245,90,1,2000,3,17950
19,51884,1100,97,1,1400,3,15950
19,50005,1265,110,1,2000,3,21950
20,48110,1100,97,1,1400,3,16450
20,37500,1260,90,1,2000,3,22250
16,34472,1260,90,1,1995,3,19950
20,33329,1100,97,1,1400,3,15950
20,31850,1120,110,0,1600,3,18900
17,30351,1260,90,1,1995,3,19950
19,29435,1100,97,1,1400,3,15950
19,25948,1100,97,1,1400,3,15950
11,24500,1120,110,1,1600,3,18750
18,23902,1100,97,1,1400,3,17450
20,23175,1120,110,1,1600,3,18990
19,19200,1100,97,1,1400,3,16250
13,18000,1125,71,0,1400,3,18500
11,16123,1105,110,1,1600,3,18500
11,14635,1155,110,1,1600,3,19450
19,13748,1100,97,1,1400,3,16950
14,11500,1045,110,1,1600,3,18800
17,10000,1100,97,1,1400,3,17450
20,7187,1105,110,1,1600,3,17950
4,1,1320,116,0,2000,5,32500
4,4000,1320,116,1,2000,5,31000
4,1500,1320,116,1,2000,5,31275
8,13253,1320,116,1,2000,5,24950
7,10000,1270,116,1,2000,5,22950
8,6000,1280,90,1,2000,5,24990
8,10841,1270,90,1,2000,5,21950
7,1,1105,110,1,1600,3,17900
20,63000,1255,90,1,2000,5,19250
17,57313,1275,110,1,2000,5,22250
13,57037,1115,110,0,1600,5,18950
19,51099,1255,90,1,2000,5,19950
14,40010,1115,110,1,1600,5,16350
20,39115,1130,110,1,1600,5,18950
17,36012,1130,110,0,1600,5,16950
16,36000,1130,110,1,1600,5,21750
20,36000,1075,110,1,1600,5,15950
20,35000,1110,97,1,1400,5,16500
17,33740,1135,97,1,1400,5,17950
13,33477,1075,110,1,1600,5,15850
20,32627,1110,97,1,1400,5,16250
20,29797,1110,97,1,1400,5,15950
19,29441,1110,97,1,1400,5,16250
13,29371,1105,110,1,1600,4,15950
20,29000,1110,97,0,1400,5,16500
19,27821,1110,97,0,1400,5,16500
19,27371,1135,97,0,1400,5,18450
13,25170,1105,110,1,1600,5,16250
11,25000,1320,116,1,2000,5,23000
20,23000,1130,110,1,1600,5,19900
20,22588,1110,97,1,1400,5,16450
19,21684,1185,192,1,1800,5,23950
13,21428,1130,110,1,1600,5,19950
16,20629,1090,110,1,1600,4,18500
15,20270,1130,110,1,1600,5,18950
16,20105,1110,97,0,1400,5,16450
20,20000,1165,110,0,1600,5,20500
13,19988,1130,110,1,1600,5,24500
19,18328,1130,110,0,1600,5,19450
14,17896,1150,110,1,1600,4,20950
20,17300,1110,97,1,1400,5,17200
19,17038,1130,110,0,1600,5,19950
10,13747,1110,97,1,1400,5,18450
12,13634,1115,110,1,1600,5,19500
13,13178,1130,110,1,1600,5,21750
15,13157,1085,97,1,1400,4,16868
16,13000,1105,110,1,1600,4,19500
11,12500,1115,110,1,1600,5,18900
17,11999,1130,110,1,1600,5,19750
16,11754,1180,110,0,1600,5,19750
16,11000,1105,110,1,1600,4,18950
17,10000,1105,110,0,1598,5,20750
9,7650,1115,110,1,1600,5,19600
14,6500,1100,110,1,1600,4,19500
11,6155,1110,97,1,1400,5,17650
14,6000,1130,110,0,1600,5,19950
14,5459,1130,110,1,1600,5,19950
14,5278,1150,110,1,1600,4,20950
12,5000,1130,110,1,1600,5,20500
9,1,1065,98,1,1400,4,17795
9,1,1075,110,1,1600,5,18245
8,11000,1130,110,1,1600,5,23750
8,10077,1110,97,1,1400,5,19500
8,10000,1110,97,1,1400,5,18950
8,9788,1130,110,1,1600,5,21950
8,8574,1130,110,1,1600,5,19950
8,7000,1115,110,0,1600,5,18950
7,6250,1115,110,1,1600,5,19950
8,5000,1130,110,1,1600,5,21950
6,3000,1130,110,0,1600,5,22500
7,2000,1075,110,0,1600,5,18500
7,450,1110,97,1,1400,5,18700
2,225,1110,97,1,1400,5,21125
2,15,1130,110,1,1600,5,21500
1,1,1100,98,1,1400,4,17795
1,1,1075,110,1,1600,5,18245
43,243000,1110,69,0,1900,3,6950
38,180638,1160,90,0,2000,4,9500
40,179860,1205,90,1,2000,5,11950
43,178858,1084,110,0,1600,3,7750
40,161000,1105,69,1,1900,3,11950
44,158320,1110,69,0,1800,5,4350
44,131273,1110,69,1,1800,5,4750
40,130062,1140,69,1,1900,5,11750
41,123425,1140,69,1,1900,5,13250
37,118217,1075,110,1,1600,5,11950
44,110000,1095,69,1,1900,5,11900
39,108847,1205,90,1,2000,5,14750
42,105699,1025,97,1,1400,3,9950
39,98823,1119,110,1,1600,5,11950
44,96829,1075,110,1,1600,5,11495
40,96518,1025,97,1,1400,3,11250
42,92204,1075,110,1,1600,5,10500
35,91456,1110,69,1,1900,3,10450
43,89968,1140,69,1,1900,5,12950
44,89757,1045,110,1,1600,3,11500
40,85389,1075,110,1,1600,5,12500
43,85017,1060,97,0,1400,5,10950
41,84312,1080,110,0,1600,5,11450
37,82743,1121,110,1,1600,5,11950
41,81106,1140,69,1,1900,5,13250
40,80425,1205,90,1,2000,5,14750
34,78677,1105,110,1,1600,5,11790
40,78425,1075,110,1,1600,5,11450
33,78108,1170,90,1,2000,3,13500
33,77321,1075,110,1,1600,5,10950
33,75699,1105,69,0,1900,3,13500
41,75697,1025,97,1,1400,3,10950
44,74846,1025,97,1,1400,3,10950
38,74319,1075,110,1,1600,5,12950
43,74285,1075,110,1,1600,5,11950
44,74172,1320,110,1,1600,5,12450
40,73042,1075,110,1,1598,5,11950
44,71793,1067,110,1,1600,4,14950
35,71200,1075,110,1,1600,5,12450
38,67805,1075,110,1,1600,5,12950
35,65988,1040,110,1,1600,3,11950
34,65345,1060,97,1,1400,5,11690
42,64564,1080,110,1,1600,5,12450
36,63459,1060,97,1,1400,5,12750
44,63451,1025,97,0,1400,3,11925
33,62000,1075,110,1,1600,5,12950
42,61300,1030,97,1,1400,3,11950
41,61200,1045,110,1,1600,3,12900
41,61000,1075,110,0,1600,5,11900
38,60829,1075,110,1,1600,5,11650
44,60500,1075,110,0,1600,5,10950
35,59500,1110,69,1,1900,3,13950
44,59000,1110,110,0,1600,5,13950
40,58954,1080,110,1,1600,5,11950
38,58798,1075,110,1,1600,5,10950
38,58363,1055,110,1,1600,3,12450
43,58277,1045,110,1,1600,3,11950
33,57711,1165,90,1,2000,3,13500
33,57269,1075,110,1,1600,5,11690
39,56001,1075,110,1,1600,5,13500
42,55968,1050,110,0,1600,3,11950
39,55678,1030,110,1,1600,4,12900
43,55539,1085,110,1,1600,5,13500
42,55400,1075,110,0,1600,5,11750
33,55350,1075,110,0,1600,5,11750
43,54600,1030,110,0,1600,4,10850
43,53773,1075,110,1,1600,5,11750
42,53719,1105,110,1,1600,5,14950
39,53644,1075,110,1,1600,5,9940
42,53350,1075,110,0,1600,5,12900
38,53000,1075,110,1,1600,5,13500
44,52084,1025,97,1,1400,3,11750
44,52000,1025,97,0,1400,3,11950
33,51945,1075,110,1,1600,5,13450
41,51732,1025,97,1,1400,3,11950
39,50873,1075,110,1,1600,5,12495
41,50856,1030,110,0,1600,4,13500
40,50640,1075,110,1,1600,5,12750
39,50000,1060,97,1,1400,5,12000
38,49500,1075,110,1,1600,5,11950
44,49332,1080,110,1,1600,5,12495
34,49291,1040,110,1,1600,3,12450
40,48952,1205,90,1,2000,5,14750
39,48945,1040,110,0,1600,3,10950
33,48928,1105,69,1,1900,3,13500
38,48197,1075,110,1,1600,5,12950
35,48052,1105,69,1,1900,3,13500
34,48011,1030,110,1,1600,4,13450
43,48000,1075,110,1,1600,5,13500
41,47350,1075,110,1,1600,5,11480
39,46821,1060,97,1,1400,5,13450
39,46694,1040,110,0,1600,3,11495
43,46515,1025,97,0,1400,5,12750
38,46327,1055,110,1,1600,3,14990
35,46304,1060,97,1,1400,5,12950
40,45886,1080,110,1,1600,5,12950
39,45713,1085,97,1,1400,5,12850
40,45600,1105,110,1,1600,5,13950
41,45287,1075,110,1,1600,5,11950
39,45081,1075,110,1,1600,5,12950
40,44830,1075,110,1,1600,5,11700
37,44757,1025,97,0,1400,3,9950
44,44218,1060,97,1,1400,5,11895
43,43632,1075,110,1,1600,5,12950
36,43427,1040,110,1,1600,3,12500
39,43254,1075,110,1,1600,5,13875
35,43000,1050,110,0,1600,3,10500
33,42823,1075,110,1,1600,5,12295
42,42560,1080,110,1,1600,5,13950
38,41754,1040,110,0,1600,3,10950
44,41499,1103,110,1,1600,5,12950
40,41339,1080,110,1,1600,5,12850
35,41000,1075,110,1,1600,5,13995
39,40000,1055,110,1,1600,3,13750
37,39757,1075,110,1,1600,5,12750
41,39659,1045,110,1,1600,3,12500
43,39650,1055,110,0,1600,3,13950
39,39524,1025,97,1,1398,3,11500
44,39516,1060,97,1,1400,5,13950
41,39439,1060,97,0,1400,5,11895
44,39000,1025,97,1,1400,3,9950
42,38932,1040,110,1,1600,3,13500
37,38812,1025,97,0,1400,3,11450
42,38665,1075,110,1,1600,5,12450
40,38653,1080,110,1,1600,5,12950
44,38461,1080,110,1,1600,5,13995
42,38078,1025,97,0,1400,3,11750
39,37782,1060,97,1,1400,5,11650
43,37576,1030,97,0,1400,3,9950
41,37533,1075,110,1,1600,5,13950
44,37389,1080,110,1,1600,5,12950
38,37320,1025,97,1,1400,3,10950
42,37000,1025,97,1,1400,3,9900
44,37000,1075,110,0,1600,4,11950
40,36566,1090,110,0,1600,5,11990
36,36269,1075,110,1,1600,5,10750
37,36074,1075,110,1,1600,5,13950
44,36066,1040,110,1,1600,3,11250
39,34599,1075,110,1,1600,5,12950
41,34000,1075,110,1,1600,5,11950
42,33623,1025,97,1,1400,3,10950
33,33591,1075,110,1,1600,5,12950
35,33258,1075,110,1,1600,5,12950
43,33113,1075,110,1,1600,5,11695
41,33000,1075,110,1,1600,5,11000
35,32941,1080,110,1,1600,5,13950
38,32781,1075,110,0,1600,5,11950
40,32532,1040,110,1,1600,3,11750
34,32431,1060,97,1,1400,5,12400
35,32000,1040,110,0,1600,3,12500
33,31000,1075,110,1,1600,5,12900
41,30989,1045,110,0,1600,3,12200
43,30742,1040,110,1,1600,3,12750
42,30190,1075,110,1,1600,5,11950
41,29716,1075,116,1,1600,5,11900
44,29716,1070,110,1,1600,3,11950
42,29640,1055,110,0,1600,3,14950
41,29056,1060,97,1,1400,5,11950
33,28715,1075,110,1,1600,5,12950
41,28571,1090,110,0,1600,5,14950
40,28362,1040,110,1,1600,3,13450
38,28150,1075,110,1,1600,5,13750
43,27301,1040,110,1,1600,3,12950
33,27240,1075,110,1,1600,5,12750
39,27170,1060,97,1,1400,5,11895
42,27141,1060,97,1,1400,5,9950
38,26262,1075,110,1,1600,5,12450
38,26000,1060,97,1,1400,5,12500
43,25228,1045,110,1,1600,3,14950
39,25062,1080,110,1,1600,5,13750
39,24723,1060,110,1,1600,4,12695
33,24650,1055,110,1,1600,3,14990
43,24553,1080,110,1,1600,5,12750
41,24475,1030,110,1,1600,5,14350
39,24444,1040,110,1,1600,3,12950
35,24011,1025,97,0,1400,3,11500
41,24000,1025,97,1,1400,3,11950
40,23616,1075,110,1,1600,5,13450
38,22865,1075,110,1,1600,5,12900
41,22780,1035,86,1,1300,5,10500
35,21904,1025,97,0,1400,3,10950
41,21651,1025,97,0,1400,3,11950
37,21500,1030,110,1,1600,5,11450
44,21027,1080,110,1,1600,5,13250
39,18500,1030,110,0,1600,4,10250
35,18000,1075,110,1,1600,5,13995
40,17051,1060,97,0,1400,5,11950
33,16512,1085,97,1,1400,5,13250
40,16325,1080,110,1,1600,5,12950
38,16000,1060,97,1,1400,5,11750
39,12000,1075,110,1,1600,5,11500
43,10000,1060,97,1,1400,5,13500
53,216000,1110,69,0,1900,3,6500
51,198167,1095,69,0,1900,4,6400
53,176000,1105,69,0,1900,3,7000
54,174139,1100,72,1,2000,4,7750
45,174000,1095,69,1,1900,5,8900
55,150000,1075,110,1,1600,3,8500
54,149329,1135,72,1,2000,5,8950
51,146736,1080,110,1,1600,5,9900
53,143513,1140,69,0,1900,5,10250
48,142130,1119,110,0,1600,5,9250
48,140700,1110,69,1,1900,5,7750
54,138394,1095,69,1,1900,4,9450
55,137000,1135,72,1,2000,5,7750
52,135258,1140,69,1,1900,5,8250
49,131364,1075,110,1,1600,5,9950
56,129155,1110,69,0,1800,5,4450
50,126110,1055,110,0,1600,3,9950
48,119742,1080,110,1,1600,5,9000
53,117913,1110,69,1,1900,5,9950
47,117430,1165,90,1,2000,3,12450
55,117175,1035,110,1,1600,4,10500
54,115558,1035,110,1,1600,4,10750
53,115113,1025,97,1,1400,3,8950
54,115046,1140,69,1,1900,5,10500
56,113997,1135,72,1,2000,5,5150
49,107859,1060,97,0,1400,5,10950
52,104805,1025,97,1,1400,3,9450
54,103454,1075,110,1,1600,5,9950
51,103018,1140,69,0,1900,5,10950
47,102352,1080,110,1,1600,5,11900
50,102030,1060,97,1,1400,5,9950
54,101352,1080,110,0,1600,5,11950
50,99865,1035,110,1,1600,4,7900
52,99323,1055,110,1,1600,3,10950
48,98100,1140,69,1,1900,5,8950
51,98040,1080,110,0,1600,5,11950
49,97600,1045,110,1,1600,3,10900
55,97234,1080,110,0,1600,5,9950
51,96135,1115,72,0,2000,3,9950
54,96100,1080,110,1,1600,5,10950
55,94401,1115,72,0,2000,3,8950
55,94122,1015,86,1,1300,3,8950
49,91340,1055,110,1,1600,3,10500
53,90200,1025,97,0,1400,3,8950
53,90097,1140,69,1,1900,5,9250
48,89049,1060,97,1,1400,5,11500
52,89000,1075,110,0,1600,5,9750
45,87274,1040,110,1,1600,3,9950
49,86221,1045,110,0,1600,3,11450
54,84598,1075,110,0,1600,5,12500
50,83567,1075,110,0,1600,5,10500
50,83106,1075,110,1,1600,5,12950
50,82805,1040,110,1,1600,3,12200
50,82735,1030,97,1,1400,3,10950
54,81905,1105,110,1,1600,5,10950
49,80320,1070,110,1,1600,3,11290
49,80090,1030,97,1,1400,3,10750
53,79800,1075,110,0,1600,5,10895
47,78785,1119,110,1,1600,5,11500
48,78600,1075,110,1,1600,5,9750
55,77780,1040,110,0,1600,3,10250
49,77648,1030,110,0,1600,4,12500
54,77270,1035,110,1,1600,4,11950
50,76167,1060,97,1,1400,5,10750
46,75249,1035,110,1,1600,4,11450
54,75231,1080,110,1,1600,5,11950
48,75045,1055,110,1,1600,3,11750
50,74849,1060,110,1,1600,4,10950
55,74715,1080,110,1,1600,5,11950
49,74656,1105,69,0,1900,3,10995
56,74500,1025,97,0,1400,3,11450
49,74494,1075,110,1,1600,5,8900
50,73634,1075,110,0,1587,5,10500
47,73403,1075,110,1,1600,5,11750
49,73175,1030,97,1,1400,3,11450
52,73000,1055,110,0,1600,3,12000
50,72242,1070,110,0,1600,3,11950
53,72000,1025,97,1,1400,3,9850
54,71725,1035,110,1,1600,4,10950
54,71276,1080,110,0,1600,5,10950
50,70440,1105,69,1,1900,3,8695
53,70239,1040,110,0,1600,3,10990
55,69813,1025,97,1,1400,3,9500
49,69659,1025,86,0,1300,3,11950
46,69574,1065,97,0,1400,5,10750
47,69000,1140,69,1,1900,5,8750
49,68565,1030,110,1,1600,4,8750
55,68520,1115,72,1,2000,3,11450
46,68414,1025,97,0,1400,3,9950
56,66777,1090,110,0,1600,5,11950
52,66527,1080,110,1,1600,5,13950
54,66063,1090,110,1,1600,5,11250
50,65471,1060,97,1,1400,5,10900
56,65400,1025,97,1,1400,3,9750
52,65170,1025,97,1,1400,3,9950
56,65000,1075,110,1,1600,5,11950
48,64193,1040,110,1,1600,3,10450
54,64000,1025,97,1,1400,3,8950
54,63792,1075,110,1,1600,5,10250
53,63635,1035,110,1,1600,4,9930
54,63135,1050,110,1,1600,3,10500
54,63123,1035,110,1,1600,4,11950
48,63000,1140,69,1,1900,5,11500
55,63000,1035,110,0,1600,4,11500
54,62987,1080,110,0,1600,5,11450
56,62751,1050,110,0,1600,3,9900
54,62519,1025,97,0,1400,3,9500
50,62280,1060,97,1,1400,5,10500
50,61672,1075,110,0,1600,5,10750
54,61000,1140,69,0,2000,5,8950
56,61000,1050,110,1,1600,3,12000
53,60558,1105,110,1,1600,4,9940
47,60348,1030,110,0,1600,4,10950
54,60239,1075,110,1,1600,5,10750
51,59000,1025,97,1,1400,3,9799
51,58761,1060,97,0,1300,5,11750
54,58745,1035,110,1,1600,4,11950
52,58596,1045,110,1,1600,3,11250
54,58530,1075,110,0,1600,5,11750
55,58377,1050,110,1,1600,3,10950
56,58142,1080,110,1,1600,5,11250
53,57948,1025,97,1,1400,3,9950
51,57645,1080,110,0,1600,5,9700
47,57500,1105,110,1,1600,4,11950
53,57475,1040,110,0,1600,3,9900
55,56743,1045,110,0,1600,3,9990
48,56675,1025,97,1,1400,3,9475
54,55877,1075,110,1,1600,5,11500
53,55500,1035,110,1,1600,4,11950
55,54900,1060,97,1,1400,5,11500
50,54465,1075,110,0,1600,5,10500
46,53700,1060,97,1,1400,5,10900
52,53561,1060,97,1,1400,5,11700
51,53408,1080,110,1,1600,5,11900
51,53268,1080,110,1,1600,5,13950
49,53116,1025,97,1,1400,3,10950
56,52448,1025,97,0,1400,3,10500
55,52149,1085,97,1,1400,3,10750
55,52141,1070,110,1,1600,5,11950
56,52000,1025,97,0,1400,3,10000
48,50967,1060,97,1,1400,5,10495
50,50400,1080,110,0,1600,5,11450
54,50000,1025,97,1,1400,3,9400
51,50000,1045,86,1,1300,5,11950
53,49969,1075,110,0,1600,5,9650
49,49568,1105,110,1,1600,3,18950
51,49473,1055,110,0,1600,3,11450
52,49432,1050,110,1,1600,3,10250
48,49417,1045,110,1,1600,3,11450
54,49366,1025,97,1,1400,3,9950
56,48731,1055,110,1,1600,3,10500
54,48370,1080,110,1,1600,5,13750
48,48071,1025,97,0,1400,3,9950
54,47852,1030,110,1,1600,4,10250
54,47768,1055,110,0,1600,3,10850
52,47689,1075,110,0,1600,5,11895
53,47451,1055,110,1,1600,3,12950
50,47219,1080,110,1,1600,5,11950
56,47211,1070,110,1,1600,5,10750
54,46856,1060,97,0,1400,5,9550
56,46500,1035,86,0,1300,5,10950
52,46449,1035,110,1,1600,4,11750
47,46391,1075,110,0,1600,5,10950
54,46230,1055,110,1,1600,3,12450
52,46029,1030,110,1,1600,4,10500
50,46000,1025,97,0,1400,3,10900
50,45900,1075,110,1,1600,5,12950
47,45850,1060,97,0,1400,5,10950
56,45336,1080,110,1,1600,5,12500
55,44537,1025,97,0,1400,3,9950
56,43700,1025,86,1,1300,3,10750
48,43120,1030,97,1,1400,3,12500
49,41710,1040,110,0,1600,3,10450
52,41700,1025,97,1,1400,3,10750
49,41636,1105,110,1,1600,5,12950
50,41273,1060,97,0,1400,5,10995
49,40836,1075,110,0,1600,3,11950
50,40400,1060,97,1,1400,5,11250
47,40361,1090,110,1,1600,5,11950
54,40325,1045,86,0,1300,5,13750
47,40000,1080,110,0,1600,5,11000
50,39706,1080,110,1,1600,5,13500
54,39291,1040,110,1,1600,3,10950
54,39000,1025,97,0,1400,3,10750
47,38900,1025,97,1,1400,3,8950
51,38403,1055,110,0,1600,3,12950
56,37461,1025,97,0,1400,3,9750
54,37000,1025,97,1,1400,3,10900
55,36406,1035,110,1,1600,4,10995
48,36005,1065,97,1,1400,5,10750
52,36000,1075,110,1,1600,5,10950
49,36000,1080,110,0,1600,5,13000
45,36000,1070,110,1,1600,3,12950
52,35823,1075,110,0,1600,5,11500
56,35230,1025,97,0,1400,3,10950
48,35142,1055,110,0,1600,3,11710
49,34890,1025,97,0,1400,3,9980
51,34882,1075,110,1,1600,5,12250
46,34000,1075,110,1,1600,5,11500
56,33998,1080,110,0,1600,5,11950
55,33230,1050,110,0,1600,3,11500
46,33021,1080,110,1,1600,5,11900
49,31999,1030,97,0,1400,3,11930
52,31579,1025,97,0,1400,3,10500
56,31000,1025,97,0,1400,3,8950
46,30806,1060,97,1,1400,5,10450
55,30461,1050,86,1,1300,5,10500
50,29686,1075,110,1,1600,3,12950
55,29650,1025,86,0,1300,3,9950
52,29500,1055,110,1,1600,3,12900
48,28656,1085,97,0,1400,3,9950
55,27500,1025,97,1,1400,3,9950
48,26938,1040,110,1,1600,3,10950
53,26624,1060,97,0,1400,5,10950
47,26221,1025,97,1,1400,3,9950
50,22648,1060,97,1,1400,5,10950
50,22500,1025,97,1,1400,3,10800
56,19313,1025,97,0,1400,3,10500
50,17619,1030,110,0,1600,4,10450
51,17069,1025,97,1,1400,3,10600
48,15000,1025,97,1,1400,3,10450
50,10210,1065,97,0,1400,5,12950
47,5309,1070,110,1,1600,3,11250
50,1,1260,90,1,2000,3,7500
52,31000,1025,97,0,1398,3,8950
58,205000,1100,72,1,2000,4,6950
68,204250,1115,72,0,2000,3,7900
68,194545,1000,86,0,1300,4,5950
59,190900,1115,72,1,2000,3,7500
62,183500,1140,72,1,2000,5,7500
65,176184,1115,72,1,2000,3,6900
67,174833,1100,72,0,2000,4,5751
68,155720,1015,86,1,1300,3,6950
67,155500,1050,110,1,1600,5,7950
59,154783,1120,72,1,2000,3,7750
64,154462,1135,72,1,2000,5,7950
64,150585,1065,110,1,1600,3,8250
67,149000,1135,90,1,2000,5,6250
62,147636,1135,72,0,2000,5,9500
59,144521,1135,72,1,2000,5,6900
64,144000,1065,110,1,1600,3,8450
65,140168,1115,72,1,2000,3,7350
68,140000,1085,110,1,1600,5,8950
60,139800,1115,72,0,2000,3,6900
59,137050,1078,110,1,1600,3,8950
61,136956,1065,110,0,1600,3,8750
67,135337,1120,110,1,1600,5,7950
64,133769,1120,72,1,2000,3,8950
58,133405,1135,72,1,2000,5,8950
65,132807,1135,72,1,2000,5,8950
64,132393,1135,72,0,2000,5,7950
60,130270,1050,110,0,1600,3,7750
59,130000,1135,72,1,2000,4,7500
67,127000,1135,72,1,2000,5,8950
67,126800,1135,72,0,2000,5,9800
66,126452,1085,110,1,1600,5,9450
62,125175,1150,116,0,2000,5,8950
68,125000,1115,72,1,2000,3,8750
61,123000,1135,72,0,2000,5,10500
59,121626,1050,86,0,1300,5,7995
64,120400,1090,110,0,1600,5,10450
66,120000,1100,72,0,2000,4,9950
68,119541,1055,110,0,1600,3,9950
68,119500,1070,110,1,1600,5,8950
68,119289,1035,110,1,1600,4,7950
57,118833,1065,110,0,1600,3,10950
64,118000,1150,72,1,2000,5,9950
68,117955,1065,110,1,1600,4,8600
65,117609,1015,86,0,1300,3,7250
68,117000,1115,72,0,2000,3,6950
64,116000,1045,86,0,1300,5,8000
58,115715,1070,110,0,1600,5,9950
60,115191,1079,110,1,1600,4,9450
68,115071,1055,110,1,1600,3,7950
63,115000,1109,110,0,1600,3,9450
64,114846,1075,110,1,1600,5,9950
65,114383,1260,90,0,2000,3,6950
59,113700,1065,110,1,1600,5,8250
67,113118,1020,86,1,1300,3,9950
59,112827,1040,86,1,1300,5,8250
68,112116,1070,110,1,1600,5,9950
66,112000,1065,110,1,1600,3,10500
62,112000,1135,72,0,2000,4,7950
65,111769,1065,110,0,1600,3,9750
61,110853,1070,110,1,1600,5,9250
68,110287,1050,110,1,1600,3,9500
62,109547,1075,110,0,1600,5,9950
63,109230,1050,110,0,1600,3,7750
68,109150,1075,110,0,1600,5,9500
67,108793,1035,110,1,1600,4,9950
64,106784,1050,110,0,1600,3,9750
58,105942,1040,86,0,1300,5,9750
59,105000,1015,86,1,1300,3,5950
62,105000,1040,86,0,1300,5,8500
68,104299,1085,110,1,1600,5,8495
67,104000,1020,86,0,1300,3,9250
68,104000,1015,86,1,1300,3,6900
58,103458,1025,86,1,1300,3,8950
63,103400,1075,110,1,1600,5,9500
63,102807,1055,86,0,1300,5,9250
68,102494,1090,110,0,1600,5,9895
57,102300,1135,72,1,2000,5,9950
61,102106,1050,110,0,1600,3,7950
68,101889,1075,110,1,1600,5,8750
57,101791,1115,72,0,2000,3,8250
63,101469,1065,110,1,1600,3,8950
68,101001,1075,110,0,1600,5,8950
61,100748,1070,110,0,1600,5,8950
65,100550,1075,110,1,1600,5,8950
67,99781,1085,110,1,1600,5,9450
59,98658,1020,86,1,1300,3,8950
65,98500,1075,110,1,1600,5,9250
64,98291,1000,86,0,1300,4,8750
61,97648,1065,110,1,1600,3,9950
61,97425,1075,110,1,1600,5,9950
65,97173,1015,86,0,1300,3,9900
66,97046,1000,86,1,1300,4,8950
67,96000,1050,110,1,1600,3,8950
60,96000,1100,72,0,2000,4,12250
67,95750,1070,110,1,1600,5,9250
