"","treat","age","educ","black","hispan","married","nodegree","re74","re75","re78","distance","weights","id"
"NSW116",1,21,12,0,0,0,0,3670.872,334.0494,12558.02,0.0625452859798461,1,116
"NSW117",1,27,12,1,0,0,0,2143.413,357.9499,22163.25,0.637300337211645,1,117
"NSW118",1,20,12,1,0,0,0,0,377.5686,1652.637,0.647512297137757,1,118
"NSW119",1,19,10,1,0,0,1,0,385.2741,8124.715,0.726599948575312,1,119
"NSW120",1,23,12,1,0,0,0,5506.308,501.0741,671.3318,0.566314424567712,1,120
"NSW121",1,29,14,1,0,0,0,0,679.6734,17814.98,0.74816998147295,1,121
"NSW122",1,18,10,1,0,0,1,0,798.9079,9737.154,0.727855650167521,1,122
"NSW123",1,19,9,1,0,0,1,0,798.9079,17685.18,0.698094476904366,1,123
"NSW124",1,27,13,0,0,1,0,9381.566,853.7225,0,0.0249517850136956,1,124
"NSW125",1,18,11,0,0,0,1,3678.231,919.5579,4321.705,0.101756942284158,1,125
"NSW126",1,27,9,1,0,1,1,0,934.4454,1773.423,0.53484034986815,1,126
"NSW127",1,22,12,1,0,0,0,5605.852,936.1773,0,0.566396137252327,1,127
"NSW128",1,23,10,1,0,1,1,0,936.4386,11233.26,0.559194281316096,1,128
"NSW129",1,23,12,0,1,0,0,9385.74,1117.439,559.4432,0.113004253910665,1,129
"NSW130",1,20,11,1,0,0,1,3637.498,1220.836,1085.44,0.718714523551451,1,130
"NSW131",1,17,9,1,0,0,1,1716.509,1253.439,5445.2,0.669909090935017,1,131
"NSW132",1,28,11,1,0,0,1,0,1284.079,60307.93,0.790638492788602,1,132
"NSW133",1,26,11,1,0,1,1,0,1392.853,1460.36,0.615602561826831,1,133
"NSW134",1,20,11,1,0,0,1,16318.62,1484.994,6943.342,0.510499343086375,1,134
"NSW135",1,24,11,1,0,1,1,824.3886,1666.113,4032.708,0.597438460076867,1,135
"NSW136",1,31,9,1,0,0,1,0,1698.607,10363.27,0.745670072286372,1,136
"NSW137",1,23,8,0,0,1,1,0,1713.15,4232.309,0.0427548744987325,1,137
"NSW138",1,18,10,1,0,0,1,2143.411,1784.274,11141.39,0.707358127815949,1,138
"NSW139",1,29,12,1,0,0,0,10881.94,1817.284,0,0.511496416619183,1,139
"NSW140",1,26,11,0,0,0,1,0,2226.266,13385.86,0.152156438933744,1,140
"NSW141",1,24,9,1,0,0,1,9154.7,2288.675,4849.559,0.584106571167044,1,141
"NSW142",1,25,12,1,0,0,0,14426.79,2409.274,0,0.440307954857056,1,142
"NSW143",1,24,10,1,0,0,1,4250.402,2421.947,1660.508,0.702681223409695,1,143
"NSW144",1,46,8,1,0,0,1,3165.658,2594.723,0,0.725453006282668,1,144
"NSW145",1,31,12,0,0,0,0,0,2611.218,2484.549,0.103000886708633,1,145
"NSW146",1,19,11,1,0,0,1,2305.026,2615.276,4146.603,0.748849442869847,1,146
"NSW147",1,19,8,1,0,0,1,0,2657.057,9970.681,0.684870241387422,1,147
"NSW148",1,27,11,1,0,0,1,2206.94,2666.274,0,0.773550305240493,1,148
"NSW149",1,26,11,1,0,1,1,0,2754.646,26372.28,0.632674465492913,1,149
"NSW150",1,20,10,1,0,0,1,5005.731,2777.355,5615.189,0.681737994299416,1,150
"NSW151",1,28,10,1,0,0,1,0,2836.506,3196.571,0.777376573488727,1,151
"NSW152",1,24,12,1,0,0,0,13765.75,2842.764,6167.681,0.453863204597022,1,152
"NSW153",1,19,8,1,0,0,1,2636.353,2937.264,7535.942,0.646111979165789,1,153
"NSW154",1,23,12,1,0,0,0,6269.341,3039.96,8484.239,0.586073334131669,1,154
"NSW155",1,42,9,1,0,1,1,0,3058.531,1294.409,0.62005189594476,1,155
"NSW156",1,25,13,1,0,0,0,12362.93,3090.732,0,0.526463518487308,1,156
"NSW157",1,18,9,1,0,0,1,0,3287.375,5010.342,0.722212496948064,1,157
"NSW158",1,21,12,1,0,0,0,6473.683,3332.409,9371.037,0.578633266214284,1,158
"NSW159",1,27,10,1,0,0,1,1001.146,3550.075,0,0.768692837640222,1,159
"NSW160",1,21,8,1,0,0,1,989.2678,3695.897,4279.613,0.688328187553411,1,160
"NSW161",1,22,9,1,0,0,1,2192.877,3836.986,3462.564,0.709003364032527,1,161
"NSW162",1,31,4,1,0,0,1,8517.589,4023.211,7382.549,0.445713339324955,1,162
"NSW163",1,24,10,1,0,1,1,11703.2,4078.152,0,0.396891615781403,1,163
"NSW164",1,29,10,1,0,0,1,0,4398.95,0,0.794085051369952,1,164
"NSW165",1,29,12,1,0,0,0,9748.387,4878.937,10976.51,0.572238709989349,1,165
"NSW166",1,19,10,0,0,0,1,0,5324.109,13829.62,0.138958829960333,1,166
"NSW167",1,19,11,0,1,1,1,5424.485,5463.803,6788.463,0.130900194725972,1,167
"NSW168",1,31,9,1,0,0,1,10717.03,5517.841,9558.501,0.624933635682182,1,168
"NSW169",1,22,10,1,0,1,1,1468.348,5588.664,13228.28,0.590339112449339,1,169
"NSW170",1,21,9,1,0,0,1,6416.47,5749.331,743.6666,0.662358894123658,1,170
"NSW171",1,17,10,1,0,0,1,1291.468,5793.852,5522.788,0.758093927225194,1,171
"NSW172",1,26,12,1,0,1,0,8408.762,5794.831,1424.944,0.390943393121446,1,172
"NSW173",1,20,9,0,1,0,1,12260.78,5875.049,1358.643,0.137471308884896,1,173
"NSW174",1,19,10,1,0,0,1,4121.949,6056.754,0,0.728039910940415,1,174
"NSW175",1,26,10,1,0,0,1,25929.68,6788.958,672.8773,0.393884484117097,1,175
"NSW176",1,28,11,1,0,0,1,1929.029,6871.856,0,0.815923008506809,1,176
"NSW177",1,22,12,0,1,1,0,492.2305,7055.702,10092.83,0.124272375923608,1,177
"NSW178",1,33,11,1,0,0,1,0,7867.916,6281.433,0.853152844232331,1,178
"NSW179",1,22,12,0,0,0,0,6759.994,8455.504,12590.71,0.0773317909489632,1,179
"NSW180",1,29,10,0,1,0,1,0,8853.674,5112.014,0.378971118498471,1,180
"NSW181",1,33,12,1,0,1,0,20279.95,10941.35,15952.6,0.287016142504197,1,181
"NSW182",1,25,14,1,0,1,0,35040.07,11536.57,36646.95,0.149167780784951,1,182
"NSW183",1,35,9,1,0,1,1,13602.43,13830.64,12803.97,0.494680852977491,1,183
"NSW184",1,35,8,1,0,1,1,13732.07,17976.15,3786.628,0.507417800879284,1,184
"NSW185",1,33,11,1,0,1,1,14660.71,25142.24,4181.942,0.689629384756235,1,185
"PSID5",0,25,9,1,0,1,1,14829.69,13776.53,0,0.432900038650999,1,186
"PSID6",0,37,9,1,0,1,1,13685.48,12756.05,17833.2,0.486723791518383,1,187
"PSID8",0,20,12,1,0,0,0,7392.314,12396.19,17765.23,0.672580339522423,1,188
"PSID15",0,22,14,1,0,1,0,748.4399,11105.37,18208.55,0.656969673706647,1,189
"PSID17",0,25,9,0,1,0,1,5460.477,10589.76,7539.361,0.265518543654547,1,190
"PSID24",0,47,8,1,0,1,1,9275.169,8543.419,0,0.508687591329658,1,191
"PSID27",0,36,9,1,0,1,1,13256.4,8457.484,0,0.433437564606719,1,192
"PSID31",0,22,13,0,1,0,0,6404.843,7882.79,9453.017,0.2076182805546,1,193
"PSID33",0,27,12,0,0,1,0,12270.89,7709.129,7806.829,0.0248959894300206,1,194
"PSID41",0,22,12,1,0,1,0,9729.719,7372.548,2231.367,0.37356634037557,1,195
"PSID46",0,20,12,1,0,1,0,9555.344,7055.661,0,0.365186786347975,1,196
"PSID48",0,25,12,1,0,1,0,295.8493,6942.871,461.0507,0.546007276722919,1,197
"PSID59",0,36,12,1,0,1,0,11040.47,6221.371,7215.739,0.38896236554278,1,198
"PSID66",0,26,8,0,1,0,1,3168.134,5872.258,11136.15,0.222595115318876,1,199
"PSID69",0,30,17,1,0,0,0,17827.37,5546.419,14421.13,0.638554162577531,1,200
"PSID76",0,26,12,0,1,0,0,7968.338,5109.581,4181.966,0.154729104281993,1,201
"PSID77",0,54,12,0,0,0,0,7165.039,5012.903,0,0.100890789489572,1,202
"PSID79",0,23,17,0,0,0,0,0,4876.839,16747.08,0.203767747033793,1,203
"PSID84",0,37,11,0,1,0,1,615.2098,4713.919,0,0.384188625916853,1,204
"PSID89",0,16,9,0,0,0,1,2539.21,4579.645,0,0.0949493135878687,1,205
"PSID91",0,30,16,0,0,0,0,3093.682,4468.645,15538.29,0.160077949787949,1,206
"PSID94",0,47,10,1,0,1,1,13311.26,4397.032,19330.14,0.461591002033093,1,207
"PSID95",0,25,12,0,1,1,0,2266.872,4361.226,3020.473,0.101868272599598,1,208
"PSID96",0,47,10,1,0,0,1,21918.32,4323.629,19438.02,0.514112408943913,1,209
"PSID97",0,24,12,1,0,1,0,8573.752,4293.194,0,0.36192884402989,1,210
"PSID98",0,20,12,1,0,1,0,2648.929,4273.5,0,0.448706365965604,1,211
"PSID99",0,28,12,1,0,0,0,16722.34,4253.806,7314.747,0.435667467614336,1,212
"PSID100",0,47,11,0,0,0,1,8060.424,4232.323,3358.873,0.134959411052977,1,213
"PSID109",0,21,15,0,0,1,0,6951.479,3879.629,0,0.0430477846300392,1,214
"PSID110",0,20,12,1,0,0,0,5099.971,3842.032,12718.79,0.605211138172127,1,215
"PSID111",0,51,11,0,0,0,1,48.98167,3813.387,1525.014,0.224079366682052,1,216
"PSID114",0,28,8,0,1,1,1,8305.332,3718.5,0,0.0734401608138938,1,217
"PSID118",0,20,11,1,0,0,1,0,3480.387,5495.665,0.789172833713503,1,218
"PSID127",0,18,11,0,0,0,1,0,3226.161,15814.63,0.143003751468667,1,219
"PSID134",0,19,11,1,0,0,1,5607.422,3054.29,94.5745,0.706597137627737,1,220
"PSID136",0,20,11,0,1,0,1,2868.367,2968.355,7403.41,0.269918597368527,1,221
"PSID138",0,39,10,0,0,1,1,0,2886,18761.22,0.0779275154584043,1,222
"PSID140",0,19,9,1,0,0,1,1079.556,2873.468,14344.29,0.705085009590046,1,223
"PSID150",0,22,11,0,1,0,1,7341.373,2535.097,14187.65,0.212872789491816,1,224
"PSID156",0,20,13,0,0,0,0,0,2352.484,0,0.10061710406594,1,225
"PSID157",0,17,7,1,0,0,1,1054.086,2286.242,1613.677,0.619613096400472,1,226
"PSID158",0,18,10,1,0,0,1,311.5234,2284.452,8154.095,0.739005698505929,1,227
"PSID159",0,28,12,1,0,0,0,6285.328,2255.806,7310.313,0.594737160798167,1,228
"PSID160",0,25,14,0,1,1,0,1622.273,2239.694,1892.968,0.127734091410314,1,229
"PSID161",0,40,12,0,1,0,0,13616.9,2228.952,876.2919,0.11542393787652,1,230
"PSID164",0,17,7,0,1,0,1,0,2082.145,6460.621,0.178128737327568,1,231
"PSID170",0,21,14,0,0,0,0,80.32994,1890.581,6389.69,0.1146848718909,1,232
"PSID171",0,17,10,0,0,0,1,0,1888.79,19993.64,0.115155926105015,1,233
"PSID173",0,18,9,1,0,0,1,1183.397,1822.548,803.8833,0.688310566995252,1,234
"PSID176",0,19,13,0,0,0,0,2366.794,1709.758,0,0.0823833986473383,1,235
"PSID177",0,19,11,0,0,0,1,0,1693.645,9853.481,0.135088959170605,1,236
"PSID179",0,18,11,1,0,0,1,2068.986,1623.823,20243.38,0.738977492054223,1,237
"PSID180",0,21,10,0,0,0,1,1767.259,1555.79,7675.312,0.107104770668678,1,238
"PSID182",0,18,11,0,0,0,1,1273.523,1532.516,12489.75,0.122121554314216,1,239
"PSID183",0,17,10,0,0,0,1,568.1874,1525.355,6231.573,0.10916183517483,1,240
"PSID184",0,17,10,0,0,0,1,0,1503.871,7843.773,0.113076223869295,1,241
"PSID185",0,18,10,0,0,0,1,0,1491.339,237.914,0.114600212147759,1,242
"PSID186",0,53,10,0,1,0,1,7878.212,1489.548,13170.98,0.254581231604859,1,243
"PSID187",0,18,11,1,0,0,1,1191.234,1478.806,3683.972,0.74949341205036,1,244
"PSID188",0,17,10,0,1,0,1,0,1453.742,6918.716,0.253744058351886,1,245
"PSID189",0,26,12,1,0,0,0,0,1448.371,0,0.681357003022806,1,246
"PSID191",0,18,12,1,0,0,0,1579.169,1408.984,3057.416,0.626760895971328,1,247
"PSID192",0,23,13,0,0,0,0,601.4949,1394.661,4975.505,0.0964400467658217,1,248
"PSID196",0,18,11,1,0,0,1,0,1367.806,33.98771,0.764134587897559,1,249
"PSID199",0,29,10,0,1,0,1,3732.403,1323.048,6694.101,0.237886412723347,1,250
"PSID202",0,20,9,0,1,1,1,0,1283.661,0,0.115687115770781,1,251
"PSID203",0,36,18,0,0,1,0,3273.935,1269.339,18227.76,0.0947975720516413,1,252
"PSID205",0,16,10,0,0,0,1,1026.656,1224.581,6847.785,0.103021794720555,1,253
"PSID207",0,40,12,0,1,0,0,11867.28,1195.935,3873.121,0.122805612334355,1,254
"PSID208",0,16,9,0,0,0,1,0,1188.774,2451.548,0.0950375247332751,1,255
"PSID209",0,16,10,0,0,0,1,574.0652,1181.613,5578.418,0.105845128689784,1,256
"PSID217",0,32,16,1,0,0,0,17135.75,1031.226,0,0.561601136309927,1,257
"PSID218",0,17,9,1,0,0,1,0,981.0968,8900.347,0.693476626495398,1,258
"PSID220",0,32,15,0,0,0,0,489.8167,968.5645,7684.178,0.143370785950865,1,259
"PSID224",0,39,11,0,0,0,1,0,930.9677,0,0.170524567862092,1,260
"PSID225",0,18,8,0,1,0,1,0,902.3226,1306.31,0.195438665761501,1,261
"PSID226",0,39,10,1,0,0,1,844.444,889.7903,701.9201,0.778911535205747,1,262
"PSID227",0,17,11,0,1,0,1,0,873.6774,7759.542,0.279199055931184,1,263
"PSID228",0,17,5,1,0,0,1,96.00407,868.3065,0,0.539486830656756,1,264
"PSID230",0,27,15,0,0,0,0,0,857.5645,3392.86,0.137379050014602,1,265
"PSID231",0,18,11,1,0,0,1,587.78,841.4516,7933.914,0.751226041835388,1,266
"PSID234",0,19,13,1,0,0,0,1714.358,785.9516,9067.33,0.65755729452555,1,267
"PSID238",0,52,8,1,0,1,1,5454.599,666,0,0.491712513474736,1,268
"PSID239",0,18,11,0,1,0,1,0,630.1935,0,0.27975558574886,1,269
"PSID240",0,16,10,0,1,0,1,0,630.1935,3892.332,0.242589378811398,1,270
"PSID241",0,18,12,0,1,0,0,0,630.1935,4843.988,0.183672055179679,1,271
"PSID251",0,16,9,0,0,0,1,0,485.1774,4112.513,0.0918521975817536,1,272
"PSID253",0,21,9,1,0,0,1,1030.574,470.8548,1223.558,0.685311452782742,1,273
"PSID256",0,17,8,1,0,0,1,0,451.1613,0,0.651762037855669,1,274
"PSID258",0,18,10,0,0,0,1,0,386.7097,0,0.108744685403376,1,275
"PSID260",0,24,12,1,0,1,0,4232.016,320.4677,1273.8,0.385161984046082,1,276
"PSID264",0,17,8,0,1,0,1,391.8534,300.7742,18891.26,0.183756045481907,1,277
"PSID265",0,19,8,0,1,0,1,368.3422,300.7742,18510,0.188794462160296,1,278
"PSID266",0,17,9,1,0,0,1,0,297.1935,54.67588,0.685652380345791,1,279
"PSID267",0,21,14,0,0,0,0,107.7597,293.6129,7698.955,0.106112827533144,1,280
"PSID268",0,16,9,1,0,0,1,0,277.5,3983.951,0.682013756056008,1,281
"PSID269",0,23,13,1,0,0,0,172.4155,272.129,582.2243,0.68970689224853,1,282
"PSID271",0,17,11,0,1,0,1,803.2994,248.8548,5173.521,0.26124826741993,1,283
"PSID272",0,46,7,0,0,0,1,1081.515,245.2742,0,0.0970029788819159,1,284
"PSID274",0,18,11,0,0,0,1,131.2709,218.4194,7503.896,0.123387204746912,1,285
"PSID275",0,23,12,0,1,1,0,0,216.629,0,0.0938934923004605,1,286
"PSID277",0,19,10,1,0,0,1,1056.045,205.8871,0,0.709313643280622,1,287
"PSID278",0,16,7,1,0,0,1,133.2301,205.8871,6145.865,0.605166072349736,1,288
"PSID280",0,16,10,0,0,0,1,0,189.7742,2136.793,0.104732996517514,1,289
"PSID281",0,17,10,0,0,0,1,0,182.6129,6423.677,0.106185237958446,1,290
"PSID282",0,17,10,0,0,0,1,0,171.871,1483.637,0.106130760929446,1,291
"PSID285",0,17,10,0,0,0,1,0,152.1774,10301.23,0.10603094975407,1,292
"PSID289",0,19,10,0,0,0,1,1933.796,112.7903,675.321,0.0961032025572668,1,293
"PSID290",0,18,11,0,0,0,1,1481.206,57.29032,1421.573,0.112421316025601,1,294
"PSID291",0,16,6,1,0,0,1,0,44.75806,0,0.566278121702449,1,295
"PSID293",0,31,12,1,0,1,0,0,42.96774,11023.84,0.482924975316436,1,296
"PSID295",0,17,11,0,1,0,1,601.4949,10.74194,1913.656,0.261587810078968,1,297
"PSID300",0,22,8,1,0,1,1,16961.37,0,959.0445,0.202946673932688,1,298
"PSID308",0,22,11,1,0,1,1,9049.853,0,9088.018,0.421603278154666,1,299
"PSID323",0,29,10,0,0,0,1,3751.996,0,251.2135,0.0979639924434459,1,300
"PSID326",0,45,8,1,0,0,1,3299.405,0,31.03226,0.691601712491844,1,301
"PSID327",0,21,13,0,1,0,0,3015.312,0,17627.8,0.177535179947894,1,302
"PSID329",0,21,15,0,0,0,0,2629.336,0,1717.118,0.102803758319931,1,303
"PSID330",0,22,16,1,0,0,0,2564.68,0,116.7404,0.746615034551951,1,304
"PSID331",0,24,12,1,0,1,0,2355.039,0,2448.593,0.413358284937093,1,305
"PSID333",0,19,6,1,0,0,1,1955.348,0,14998.92,0.542713760834143,1,306
"PSID334",0,19,9,0,1,0,1,1822.118,0,3372.172,0.195135746485615,1,307
"PSID335",0,19,12,1,0,0,0,1681.051,0,0,0.610997003635625,1,308
"PSID337",0,19,12,1,0,0,0,1655.58,0,0,0.611431447013087,1,309
"PSID339",0,26,9,0,1,0,1,1563.495,0,2862.356,0.216195661479916,1,310
"PSID341",0,20,9,0,1,0,1,1500.798,0,12618.31,0.201308239544917,1,311
"PSID342",0,20,10,0,0,0,1,1412.631,0,6290.682,0.100278295331025,1,312
"PSID344",0,39,12,0,0,1,0,1289.198,0,1202.869,0.0430121252656074,1,313
"PSID345",0,17,9,1,0,0,1,1222.582,0,422.6298,0.66289775981321,1,314
"PSID348",0,19,12,0,1,0,0,1058.004,0,8923.991,0.170016707212942,1,315
"PSID351",0,17,10,0,0,0,1,646.558,0,9438.24,0.100971062514607,1,316
"PSID352",0,24,12,1,0,0,0,566.2281,0,2284.565,0.64803401654206,1,317
"PSID353",0,19,11,0,0,0,1,540.7576,0,3406.16,0.120677902285943,1,318
"PSID354",0,50,5,1,0,1,1,411.446,0,9166.338,0.444666991467618,1,319
