Id,R,F,M
228,6,5,1413.55
229,1,6,381.95
230,6,14,788.22
231,29,1,80.8
232,21,1,611.13
233,24,4,1766.35
234,0,2,1516.76
235,9,6,1925.2
236,17,1,344.23
237,49,1,204.1
238,5,2,1257.59
239,7,3,1095.09
240,2,1,123.76
241,3,2,696.82
242,26,2,1487.35
243,19,3,1278.43
244,28,14,627.97
245,12,1,95
246,14,4,1827.01
247,10,6,754.05
248,19,2,922.93
249,12,12,257.4
250,1,14,676.34
251,3,19,984.32
252,27,32,1914.06
253,13,4,1953.81
254,1,4,768.02
255,61,13,1379.86
256,42,1,1054.24
257,21,11,298.34
258,17,5,841.04
259,8,9,1757.87
260,22,11,1010.7
261,13,6,948.83
262,12,24,852.95
263,7,7,1532.72
264,11,6,1891.29
265,10,21,1900.33
266,16,13,598.84
267,8,21,1622.91
268,21,7,536.53
269,66,6,180.51
270,18,8,1751.33
271,26,1,1146.43
272,24,6,654.8
273,4,3,1599.58
274,14,16,1317.4
275,16,18,1665.03
276,11,17,440.21
277,16,3,1689.94
278,3,12,1163.78
279,11,6,664.23
280,10,4,1658.4
281,3,8,1293.56
282,59,14,912.94
283,25,2,1265.24
284,20,6,1169.96
285,25,3,735.19
286,5,6,1749.68
287,17,15,483.51
288,23,22,1436.67
289,16,2,1439.93
290,16,1,252.12
291,7,14,848.68
292,30,9,252.98
293,5,2,464.9
294,3,2,50.14
295,5,5,1381.21
296,23,1,1606.04
297,8,11,309.45
298,69,15,1441.57
299,12,8,434.36
300,61,6,1893.97
301,16,18,1391.11
302,12,24,1292.14
303,3,6,312.33
304,17,24,845.68
305,16,6,1993.47
306,22,2,1414.29
307,2,11,472.46
308,10,1,1255.44
309,7,12,1256.98
310,15,9,904.91
311,8,9,237.52
312,7,11,1143.16
313,20,7,805.15
314,15,4,1259.42
315,11,7,247.64
316,3,1,1391.51
317,12,18,866.59
318,71,23,1127.95
319,25,9,1535.08
320,20,13,911.15
321,20,5,1001.84
322,10,1,91.93
323,15,7,1172.57
324,9,18,1882.22
325,1,19,528.68
326,21,11,1943.65
327,28,7,570.73
328,5,6,909.57
329,12,8,1406.95
330,10,11,1060.91
331,4,1,90.67
332,17,15,1757.5
333,65,11,1082.01
334,1,6,1665.49
335,20,17,553.53
336,24,18,1568.74
337,24,4,993.88
338,9,17,511.39
339,12,23,7149.96
340,11,16,1994.53
341,6,13,399.26
342,20,7,211.93
343,16,2,1466.19
344,29,2,1185.26
345,22,16,1400.35
346,11,1,433
347,10,4,238.6
348,22,3,1393.92
349,7,3,720.16
350,26,16,1810.43
351,24,6,230.28
352,4,4,772.84
353,26,1,339.03
354,5,19,1118.51
355,1,6,328.31
356,21,17,1385.52
357,47,5,169.25
358,8,18,1177.91
359,26,12,879.69
360,11,3,446.58
361,16,1,1437.14
362,13,21,695.48
363,27,16,1715.16
364,19,1,1048.5
365,2,17,1545.94
366,22,1,656.28
367,15,11,620.08
368,16,12,1111.76
369,26,5,1440.3
370,30,11,173.89
371,29,9,365.41
372,29,19,1495.14
373,7,24,1456.31
374,13,13,1327.45
375,24,1,1445.07
376,20,2,67.47
377,15,14,759.95
378,8,11,268.31
379,44,11,887.47
380,8,22,1970.75
381,26,2,335.05
382,13,19,419.22
383,7,12,494.74
384,10,11,1535.51
385,9,1,571.11
386,12,1,1491.21
387,12,3,1385.53
388,1,11,1030.93
389,4,4,978.71
390,15,1,516.33
391,6,24,543.75
392,5,4,356.23
393,10,18,1789.67
394,24,16,1978.79
395,16,5,434.48
396,22,23,1458.64
397,15,1,854.1
398,18,13,1879.27
399,8,24,1901.09
400,39,2,1521.44
401,14,13,1956.9
402,12,14,690.06
403,1,18,1157.17
404,17,6,600.46
405,1,21,1108.49
406,25,23,512.01
407,25,11,1510.08
408,27,21,1255.12
409,3,5,1676.56
410,1,17,1974.68
411,28,4,418.22
412,1,19,1577.28
413,5,24,1416.82
414,23,9,1300.04
415,12,23,1206.86
416,11,16,1699.1
417,10,19,1031.1
418,8,9,414.99
419,58,8,1262.55
420,18,4,1254.34
421,7,1,1103.45
422,8,14,1802.11
423,0,2,387.24
424,19,22,1204.62
425,27,19,1058.39
426,22,1,696.37
427,12,7,1055.71
428,2,14,1649.81
429,27,19,1293.73
430,20,16,1517.39
431,28,3,1497.35
432,4,9,399.02
433,6,1,1598.45
434,0,18,1300.99
435,18,15,1008.74
436,13,8,1819.96
437,21,18,630.47
438,6,5,1478.86
439,16,21,1562.08
440,29,9,1171.59
441,8,21,1642.86
442,11,19,1373.12
443,8,5,180.07
444,2,18,996.17
445,7,1,45.23
446,29,11,1049.44
447,16,8,220.03
448,19,7,393.14
449,14,17,1963.58
450,9,6,147.12
451,6,7,1279.7
452,24,1,633.17
453,12,1,1562.66
454,14,21,1354.59
455,8,1,911.62
456,25,4,1725.82
457,4,4,573.16
458,14,13,1331.53
459,13,14,1688.13
460,13,4,180
461,4,22,636.38
462,10,8,830.24
463,20,22,641.43
464,4,1,790.84
465,17,22,686
466,29,18,839.53
467,7,22,1862.15
468,4,2,1645.01
469,26,13,678.39
470,1,15,1287.7
471,24,12,1138.13
472,25,21,1081.9
473,1,11,432.32
474,18,13,437.33
475,24,23,852.05
476,18,5,1686.86
477,39,15,1420.24
478,27,11,869.55
479,25,8,1919.58
480,12,22,1451.94
481,2,1,1824.64
482,7,11,1877.28
483,6,24,1717.3
484,17,16,6148.05
485,13,2,111.17
486,21,1,621.61
487,16,1,1663.79
488,7,7,1247.65
489,5,1,198.72
490,8,1,927.95
491,33,1,117.62
492,6,13,1674.32
493,1,21,734.98
494,5,11,1387.5
495,8,18,488.5
496,7,6,92.63
497,6,7,1808.21
498,19,21,910.94
499,14,6,1564.15
500,25,14,1894.13
501,10,12,751.38
502,4,11,1813.51
503,4,6,1367.15
504,15,5,1264.09
505,7,1,685.55
506,4,4,1296.34
507,14,7,1300.12
508,38,15,1728.68
509,11,1,487.28
510,4,12,1313.31
511,25,17,1694.35
512,5,2,1931.97
513,27,22,1372.36
514,26,18,1731.94
515,19,1,1496.83
516,22,15,1798.79
517,11,6,803.94
518,24,11,1505.96
519,17,1,120.52
520,18,7,936.77
521,23,7,1824.41
522,17,5,177.08
523,1,19,867.99
524,21,17,756.88
525,13,4,6433.81
526,38,2,1947.54
527,19,5,549.35
528,26,8,1680.69
529,30,12,555.2
530,7,6,334.12
531,17,19,925.89
532,27,6,249.2
533,12,14,666.3
534,27,17,1955.27
535,8,11,363.62
536,4,8,1728
537,20,9,197.43
538,28,24,973.93
539,27,12,1051.75
540,12,19,1315.32
541,4,13,1628.32
542,13,12,1452.1
543,16,21,1591.59
544,10,1,487.24
545,36,18,839.52
546,8,11,1729.52
547,13,3,1679
548,2,18,780.88
549,9,5,498.99
550,26,11,1932.64
551,27,1,98.39
552,5,6,239.36
553,23,13,866.19
554,27,4,1469.94
555,26,7,1273.07
556,24,19,1617.51
557,24,9,334.68
558,7,12,1288.1
559,42,2,1784.51
560,16,7,1234.33
561,21,21,1730.02
562,13,3,1512.12
563,9,4,93
564,26,3,1767.68
565,24,11,1640.19
566,5,6,750.26
567,6,12,299.66
568,19,14,1735.09
569,26,11,1628.49
570,20,4,1155.02
571,22,8,1923.31
572,2,18,391.1
573,13,14,411.61
574,21,4,1631.06
575,21,18,1359.47
576,26,3,1083.38
577,23,16,1320.69
578,13,21,564.33
579,13,3,1936.93
580,12,21,766.06
581,23,8,1090.77
582,25,9,1932.46
583,27,11,747.42
584,14,12,377.47
585,13,6,141.28
586,8,22,547.14
587,23,3,344.95
588,17,7,999.24
589,13,12,745.11
590,28,23,751.19
591,8,1,954.72
592,26,3,1066.27
593,17,2,489.08
594,3,15,885.49
595,39,14,1454.39
596,13,8,519.83
597,18,21,473.87
598,10,21,1465.95
599,4,6,301.49
600,20,16,951.76
601,16,15,1282.64
602,14,6,347.42
603,1,5,164.98
604,20,7,99.67
605,7,5,1909.29
606,1,11,981.2
607,16,14,1473.62
608,18,1,72.31
609,20,23,1128.24
610,2,9,1444.39
611,1,1,128
612,59,1,1767.93
613,18,1,531.73
614,27,1,85.63
615,2,2,698.67
616,3,3,690.64
617,29,1,249.85
618,9,3,563.28
619,19,5,1191.27
620,21,22,1400.81
621,6,2,1749.21
622,23,11,471.6
623,27,19,1325.11
624,12,13,778.11
625,8,6,216.09
626,84,2,276.26
627,19,2,1657.46
628,26,2,1483.83
629,21,5,554.38
630,15,13,1457.71
631,7,15,1537.57
632,3,21,627.72
633,1,3,1920.02
634,7,9,739.45
635,19,23,639.21
636,2,22,1321.41
637,19,14,1214.69
638,5,2,1576.96
639,2,6,1726.92
640,9,2,418.18
641,93,1,878.92
642,24,11,1829.07
643,9,19,919.33
644,28,14,950.21
645,22,3,773.16
646,29,1,314.52
647,4,2,1708.36
648,3,5,129.92
649,11,2,1427.69
650,22,13,1128.25
651,29,2,1198.38
652,9,24,880.79
653,21,2,1152.14
654,103,6,320.79
655,26,18,568.95
656,13,15,553.58
657,10,1,103.32
658,8,5,62.11
659,29,14,1572.41
660,15,4,946.16
661,16,7,1189.99
662,17,1,1856.61
663,9,9,802.56
664,7,11,1399.32
665,3,12,853.18
666,16,18,1346.3
667,12,8,1899.43
668,8,19,1829.73
669,14,6,1995.32
670,121,19,1343.96
671,6,24,579
672,9,17,1535.08
673,10,22,1035.15
674,5,6,1990.33
675,16,12,1998.24
676,26,4,1904.23
677,20,4,1844.99
678,16,18,835.03
679,5,11,1960.2
680,2,4,480.5
681,16,5,1041.53
682,16,7,233.22
683,21,16,1906.48
684,29,11,572.41
685,8,18,1634.84
686,15,2,120.92
687,8,2,312.85
688,21,1,1097.34
689,14,7,583.65
690,13,7,1361.69
691,28,21,1168.85
692,4,3,1840.56
693,16,5,1254.12
694,19,24,1088.95
695,11,2,1940.85
696,3,18,1187.4
697,9,2,1725.07
698,27,7,1717.7
699,12,4,1290.95
700,16,3,1075.38
701,54,8,1352.2
702,5,13,1553.19
703,24,12,1971.23
704,27,6,226.25
705,13,5,1779.41
706,8,11,1934.78
707,30,2,377.73
708,7,23,959.73
709,18,5,406.12
710,18,1,807.35
711,0,21,814.76
712,7,3,1199.35
713,19,1,593.31
714,12,2,726.51
715,14,22,980.27
716,7,19,722.57
717,15,7,207.07
718,8,5,334.09
719,11,3,1472.33
720,14,5,1670.74
721,58,21,1902.07
722,17,22,1949.76
723,3,22,490.72
724,9,3,145.14
725,5,1,90.41
726,10,4,118.43
727,5,2,527.92
728,23,11,1887.65
729,27,16,1344.29
730,24,2,1665.91
731,10,19,439.31
732,4,2,812.47
733,16,6,1251.32
734,21,22,1497.22
735,25,14,1328.08
736,7,1,285.05
737,27,9,270.18
738,52,7,649.58
739,18,1,73.1
740,23,6,271.1
741,28,7,309.92
742,27,4,1582.05
743,5,17,1661.15
744,24,6,327.09
745,15,6,214.7
746,14,4,573.03
747,15,9,423.98
748,22,3,895.91
749,28,5,1651.61
750,20,2,161.6
751,10,2,666.05
752,12,4,596.93
753,27,18,1919.11
754,22,18,1348.37
755,11,16,1746.07
756,6,24,685.08
757,28,6,1272.97
758,3,19,1527.41
759,17,5,1968.29
760,21,24,1269.7
761,27,14,755.85
762,6,21,1471.02
763,28,26,1167.93
764,20,1,343.18
765,26,11,1051.25
766,20,18,1190.9
767,24,6,564.02
768,5,28,1090.56
769,8,22,1687.67
770,17,21,1968.93
771,28,18,436.54
772,28,5,1681.4
773,20,1,28.43
774,4,20,837.3
775,7,17,803.21
776,4,1,49.7
777,1,11,612.05
778,14,20,1121.53
779,16,6,173.27
780,12,23,954.11
781,3,26,701.23
782,25,10,995.61
783,15,4,1576.22
784,5,5,1559.12
785,8,1,161.15
786,11,2,225.69
787,2,2,1776.01
788,24,10,1599.47
789,21,3,304.23
790,6,15,1856.11
792,24,10,734.29
793,53,6,1437.02
794,25,8,879.55
795,69,21,677.5
796,8,24,1830.94
797,2,6,521.58
798,18,22,598.34
799,29,9,245.96
800,4,20,1127.64
801,25,15,1176.69
802,13,23,1312.58
803,6,25,547.58
804,4,4,714.95
805,1,22,1617.22
806,22,8,1893.54
807,27,29,1290.45
808,23,13,1434.73
809,3,5,200.52
810,8,17,1042.82
811,21,7,1542.58
812,7,1,171.09
813,16,1,49.61
814,3,3,443.42
815,15,8,410.27
816,18,1,338.22
817,26,9,389.47
818,19,9,1627.36
820,2,15,617.82
821,27,17,921
822,10,13,602.29
823,5,7,132.27
824,15,19,704.16
825,26,17,1336.09
826,24,9,199.27
827,28,9,1438.39
828,20,26,773.5
829,20,3,251.94
830,15,10,1337.51
831,18,11,301.09
832,22,14,714.36
833,10,2,1513.69
834,14,16,393.81
835,25,10,904.58
836,21,1,358.62
837,18,13,1696.64
838,20,3,465.7
839,10,5,631.59
840,29,15,1283.59
841,11,9,1335.59
842,27,23,990.49
843,21,17,1256.47
844,1,19,1728.84
845,8,4,617.83
846,10,9,1380.94
847,4,3,1783.68
848,4,1,23.24
849,19,9,587.24
850,11,13,1574.3
851,19,1,1898.46
852,8,1,953.18
853,23,2,351.39
854,6,7,652.8
855,26,2,1270.24
856,19,6,207.82
857,23,1,68.31
858,20,7,1525.26
859,13,12,1992.17
860,18,15,1956.9
861,15,3,1945.2
862,2,8,1893.18
863,22,27,1554.73
864,11,18,1424.69
865,5,2,248.11
866,1,5,275.93
867,9,13,1611.27
868,10,1,93.72
869,18,10,1530.48
870,27,13,1509.41
871,9,24,1281.48
872,26,3,539.2
873,29,2,1399.1
874,25,29,1733.38
875,27,14,653.55
876,43,2,706.12
877,24,29,1489.27
878,28,21,1956.83
879,12,14,1795.23
880,10,22,730.88
881,7,11,1583.77
882,18,2,169.75
883,18,6,1607.65
884,68,3,916.19
885,20,23,681.57
886,16,12,1528.57
887,5,28,1396.47
888,3,3,259.83
889,4,6,1804.3
890,15,21,1073.82
891,27,11,884.15
892,16,7,411.65
893,20,20,933.47
894,9,19,1692.98
895,1,14,1168.04
896,18,9,289.67
897,21,6,1527.15
898,1,20,1951.03
899,0,4,1331.32
900,13,27,719.12
901,16,6,735.31
902,56,4,1869.92
903,26,1,150.18
904,24,2,157.54
905,2,9,1748.72
906,15,3,890.99
907,16,11,649.79
908,23,27,1628.78
909,21,2,1599.24
910,12,23,1550.61
911,8,1,183.55
912,26,5,1230.32
913,9,14,1627.19
914,11,28,1154.7
915,17,1,33.58
916,15,9,1959.64
917,10,22,1581.14
918,27,5,1879.82
919,25,3,1142.4
920,15,1,174.64
921,5,2,638.81
922,19,4,1067.78
923,14,22,1345.92
924,6,3,1311.06
925,26,8,962.62
926,23,1,285.97
927,17,17,1651.68
928,16,3,1503.87
929,6,13,1506.48
930,22,24,625.12
931,28,17,1742.95
932,17,26,1292.21
933,16,7,1801.38
934,1,27,1585.1
935,17,27,7795.03
936,2,17,2341.93
937,1,5,1865.78
938,19,4,1163.08
939,9,7,1007.06
940,27,7,1322.94
941,30,4,860.41
942,22,1,776.7
